"","rn","Estimate","Std. Error","z value","Pr(>|z|)","meandata","sddata","X15747","X29301","X8695","X34573"
"1","(Intercept)",-0.120807499743042,0.100893808182688,-1.19737278153182,0.231161287729365,1,0,1,1,1,1
"2","Eqpdays",0.00257301280154336,0.00017258029576379,14.9090763238987,2.87704980402031e-50,393.277625,258.126274198474,391,238,716,29
"3","Retcall",0.750740810558938,0.0714784751750983,10.5030333778088,8.36481011174896e-26,0.0403333333333333,0.196743915778622,1,0,1,0
"4","Months",-0.00147389160683975,0.00329840646327163,-0.446849599420754,0.654983656485564,18.811,9.58577631856098,16,8,24,10
"5","Refurb",0.296459691914361,0.0399592332346845,7.41905356825103,1.17960199655807e-13,0.146833333333333,0.3539470659493,1,0,0,0
"6","Uniqsubs",0.19447326184137,0.0252813773493821,7.69235232534206,1.4445416805137e-14,1.55270833333333,1.53059991907375,2,1,1,1
"7","Mailres",-0.187387594368173,0.0286161138238624,-6.54832432948721,5.81862475658187e-11,0.371041666666667,0.483093647659098,0,1,1,1
"8","Overage",-0.000635338745125493,0.000698532603196996,-0.909533416504424,0.363068626997405,40.878331729978,94.1703180994096,0,0,0,0
"9","Mou",-3.02309633325603e-05,5.96063086748149e-05,-0.507177243561361,0.612030460626571,516.802995825687,527.257256770963,0,466,0,793.25
"10","Setprcm",-0.249645375430488,0.0416026095582114,-6.00071433214252,1.96451346949541e-09,0.576,0.494200542719267,0,1,1,0
"11","Creditde",-0.230251884148827,0.0423659228453716,-5.43483697945652,5.48465527472846e-08,0.118916666666667,0.323697171570913,0,1,0,0
"12","Actvsubs",-0.185856571778852,0.0349729362444363,-5.31429704614577,1.07069839415058e-07,1.355875,0.710515553939309,2,1,1,1
"13","Roam",0.0103042252799677,0.0024441982738466,4.215789443199,2.4890591745029e-05,1.19465490955905,9.21354293957547,0,0.2575,0,0
"14","Changem",-0.000561978325020647,7.3149060656881e-05,-7.68264581901754,1.55835999378264e-14,-15.4084738035505,261.421108802224,0,64,0,68.75
"15","Changer",0.00215773540692082,0.000462041474294416,4.67000372686435,3.01194271183122e-06,-0.903200716390861,41.4225579269599,-0.335,-2.695,0,0
"16","Marryno",-0.157530701769915,0.0312200448394097,-5.04581920302242,4.51582280520692e-07,0.247833333333333,0.431763522905047,0,1,0,1
"17","Age1",-0.00751372887735423,0.00144173642419868,-5.21158288799589,1.87236152240434e-07,43.1310288845855,10.4242935180534,43.1722906055461,64,44,60
"18","Eqpdays:Months",-3.91292819667196e-05,4.89748002357769e-06,-7.98967668644721,1.35293096409418e-15,8625.98929166667,9931.35153952214,6256,1904,17184,290
"19","Months:Mou",-1.41903286490503e-05,2.89188473092477e-06,-4.90694822559976,9.25044391558525e-07,9288.03779583987,11907.3660100838,0,3728,0,7932.5
"20","Creditde:Changem",0.000556118821706536,0.000125237466271749,4.44051479371061,8.97439348288261e-06,-3.32720223046878,124.262059404068,0,64,0,0
"21","Overage:Age1",5.84207845768364e-05,1.6279595638136e-05,3.58858941434527,0.000332471968394727,1708.02603572818,4031.27014660147,0,0,0,0
"22","Customer",NA,NA,NA,NA,NA,NA,1039199,1073314,1021961,1086325
"23","Revenue",NA,NA,NA,NA,NA,NA,60.325,53.715,5,34.99
"24","Churn",NA,NA,NA,NA,NA,NA,1,1,0,0
"25","pchurn.lr",NA,NA,NA,NA,NA,NA,0.795140036782529,0.276412493941651,0.732122712451032,0.262196486025504
"26","pchurn.tree",NA,NA,NA,NA,NA,NA,0.772870662460568,0.170731707317073,0.772870662460568,0.170731707317073
